source,id,title,year,dataset_role,open_data,language_annotation,language_evidence,modalities,data_supervision,task_families,concept_types,environments,dataset_evidence,open_evidence,warnings,summary_link,paper_link,project_link
Professor Survey,fino_net_multimodal_manipulation_failure_detection,Multimodal Detection and Identification of Robot Manipulation Failures (FINO-Net),2023,introduces dataset,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio; point cloud / 3D,temporal / event labels,grasping / lifting; pouring / liquids; policy learning / VLA; failure detection / recovery,object state; state transition; event; correction signal,real robot; offline perception,"The authors' open-source FAILURE dataset, here extended with 99 new multimodal recordings and annotated with failure types. Total 324 recordings across five actions (push, pick&place, pour, put-in-container, stack-a-tower): 152 successes, 172 failures spread over collision (77), miss (22), overflow (25), spill (20), overturn (28) (Tables I-II). Split 70% train / 10% val / 20% test. Data augmentation: per-sequence color jitter (p=0.2) and vertical flip (p=0.5).","The authors' open-source FAILURE dataset, here extended with 99 new multimodal recordings and annotated with failure types.",,../source_materials/professor_survey_raw/knowledge/paper/fino_net_multimodal_manipulation_failure_detection.html,https://arxiv.org/abs/2305.04639,
Professor Survey,mvitac_visuotactile_contrastive_pretraining,Multimodal Visual-Tactile Representation Learning through Self-Supervised Contrastive Pre-Training,2024,introduces dataset,partial or indirect,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; tactile; language,class labels; property labels; temporal / event labels; demonstrations / trajectories; self-supervised pairs,grasping / lifting; cooking / food state; material recognition; representation learning,static property; state transition,real robot; offline perception,"Touch-and-Go (TAG) for material-property identification - three tasks: 20-way material category, hard/soft binary, rough/smooth binary, using the authors' prescribed splits. Calandra (""More Than a Feeling"") dataset for grasp success prediction - paired GelSight (left/right) + RGB triplets (before/during/after); no standard split, so authors create their own using 40 of 106 objects (~18,000 samples), tactile pair stacked across channels.",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/mvitac_visuotactile_contrastive_pretraining.html,https://arxiv.org/abs/2401.12024,
Supplement,nvidia-gr00t-n1-x-embodiment-sim,NVIDIA GR00T X-Embodiment Sim,2025,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Multiple per-embodiment/per-task LeRobot datasets (data/meta/videos) -> episodes -> steps -> {observation (rgb images + state/proprioception), action, language task annotation}",vision; proprioception; language,demonstrations / trajectories; simulation labels,grasping / lifting; cooking / food state; simulation / sim2real; representation learning,object state,real robot; simulation; offline perception,"The public, downloadable dataset behind NVIDIA's Isaac GR00T N1 humanoid foundation model. It bundles simulated post-training trajectories across multiple embodiments (Fourier GR1 humanoid in arms-only/full-upper-body/arms+waist configs, single-arm and bimanual Franka Panda with gripper and dexterous-hand variants, and a Unitree G1 loco-manipulation set) covering cross-embodied bimanual manipulation, humanoid tabletop manipulation, and robot-arm kitchen manipulation. Released on Hugging Face under CC-BY-4.0 in a LeRobot-compatible per-task layout (data/meta/videos), it has surpassed 10M downloads. The related DreamGen / GR00T-Dreams release (arXiv 2505.12705, Apache-2.0) is a synthetic-trajectory generation method plus code/benchmark, not a standalone downloadable trajectory dataset.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://huggingface.co/datasets/nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim.,,../source_materials/datasets_bot_raw/knowledge/paper/nvidia-gr00t-n1-x-embodiment-sim.html,https://arxiv.org/abs/2505.12705,https://huggingface.co/datasets/nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim
Professor Survey,objectfolder_2_multisensory_sim2real,ObjectFolder 2.0: A Multisensory Object Dataset for Sim2Real Transfer,2022,introduces dataset,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; point cloud / 3D,simulation labels,simulation / sim2real; representation learning,static property,real robot; simulation; offline perception,"ObjectFolder 2.0 itself - 1,000 implicit-neural objects (855 ABO + 100 OF 1.0 + 45 Google Scanned Objects). Three downstream Sim2Real evaluation tasks: object scale estimation, audio-tactile contact localization, visuo-tactile shape reconstruction. 13 real objects collected for the cross-domain tests.",,,../source_materials/professor_survey_raw/knowledge/paper/objectfolder_2_multisensory_sim2real.html,https://arxiv.org/abs/2204.02389,
Professor Survey,objectfolder_dataset_implicit_representations,"ObjectFolder: A Dataset of Objects with Implicit Visual, Auditory, and Tactile Representations",2021,introduces dataset,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; point cloud / 3D,class labels; self-supervised pairs; simulation labels,grasping / lifting; object property reasoning; simulation / sim2real; representation learning,none apparent,simulation; offline perception,"ObjectFolder itself - 100 implicitly-represented objects (20 3D Model Haven, 28 YCB, 52 Google Scanned Objects) with paired vision/audio/touch. Evaluated on four benchmark tasks: multisensory instance recognition, cross-sensory retrieval, audio-visual 3D reconstruction, robotic grasping (grasp-stability prediction + a reach task).",,,../source_materials/professor_survey_raw/knowledge/paper/objectfolder_dataset_implicit_representations.html,https://arxiv.org/abs/2109.07991,
Professor Survey,objects_that_sound,Objects that Sound,2018,uses existing datasets,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio,class labels; self-supervised pairs; simulation labels,simulation / sim2real; representation learning,state transition,simulation; web / video; offline perception,"AudioSet (10 s YouTube clips), filtered to 110 musical-instrument / singing / tools classes - the ""AudioSet-Instruments"" subset: 263k train, 30k val, 4.3k test clips. Labels used only for evaluation, never for training. 500 val clips were hand-annotated with the sounding instrument's location for quantitative localization eval.",,,../source_materials/professor_survey_raw/knowledge/paper/objects_that_sound.html,https://arxiv.org/abs/1712.06651,
Professor Survey,octopi_object_property_reasoning_tactile_language,Octopi: Object Property Reasoning with Large Tactile-Language Models,2024,introduces dataset,unknown,property words,"property words: Octopi bolts a GelSight tactile encoder onto a Vicuna LLM (via a CLIP visual backbone + a LLaVA-style projection module) so that a vision-language model can feel - predicting hardness, roughness, and bumpiness from tactile video and then chaining those properties into commonsense reasoning (e.g., picking the ripe av...",vision; tactile; language,class labels; property labels,material recognition; object property reasoning,static property,real robot; offline perception,"PhysiCleAR , a new GelSight dataset of 74 everyday objects, 408 tactile videos plus corresponding object videos, collected by hand with two exploratory procedures (pressing, then rotation for shear). Three physical properties, each 3-way: hardness (soft / moderately hard / hard), roughness (smooth / slightly rough / rough), bumpiness (no bumps / small bumps / big bumps); Table I. Annotated by 3 annotators (averaged), >1,200 annotations, high inter-annotator agreement (ICC3k 0.894 / 0.979 / 0.792). 80-10-10 split (60 train / 7 val / 7 test objects). Five tasks (Table III): Object Property Description (OPD), Property Comparison (PC), Property Superlative Selection (PSS), Property-object Matching (POM), and Property Scenario Reasoning (PSR, eval-only).",,introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/octopi_object_property_reasoning_tactile_language.html,https://arxiv.org/abs/2405.02794,
Professor Survey,omnivtla_vision_tactile_language_action,OmniVTLA: Vision-Tactile-Language-Action Model with Semantic-Aligned Tactile Sensing,2026,introduces dataset,unknown,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; tactile; language,property labels; self-supervised pairs; simulation labels,grasping / lifting; insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real; representation learning,none apparent,real robot; simulation; offline perception,"ObjTac (their tri-modal tactile dataset, 135K samples, 56 objects); tactile-perception evaluation also on Touch-and-Go. Real-world manipulation: pick-and-place (gripper + dexterous hand) and peg-insertion (square / round / triangular, clearances 0.9 / 1.2 / 1.8 mm). Soft-object generalization on Sponge and Towel.",,"language modality/method signal, but no explicit dataset language annotation evidence; introduced data artifact has unknown release status",../source_materials/professor_survey_raw/knowledge/paper/omnivtla_vision_tactile_language_action.html,https://arxiv.org/abs/2508.08706,
Supplement,open_x_embodiment_robotic_learning_datasets_rtx,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; language; point cloud / 3D; proprioception,demonstrations / trajectories,none apparent,object state,offline perception,"Open X-Embodiment is a large-scale, standardized aggregation of robot learning datasets assembled by a collaboration of 21 institutions, pooling 60 existing datasets from 34 labs covering 22 robot embodiments and over 1 million real robot trajectories demonstrating 527 skills (160,266 tasks). All datasets are converted to a common RLDS (Reinforcement Learning Datasets) episode format loadable via TensorFlow Datasets, and the corpus was used to train the cross-embodiment RT-1-X and RT-2-X generalist policies. It is widely used to train cross-embodiment models such as OpenVLA.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://console.cloud.google.com/storage/browser/gdm-robotics-open-x-embodiment.,"language modality/method signal, but no explicit dataset language annotation evidence; dataset-relevant row has no task-family tag",../source_materials/dongyu_survey_raw/knowledge/paper/open_x_embodiment_robotic_learning_datasets_rtx.html,https://arxiv.org/abs/2310.08864,https://robotics-transformer-x.github.io/
Professor Survey,palm_e_embodied_multimodal_lm,PaLM-E: An Embodied Multimodal Language Model,2023,uses existing datasets,not open,captions / descriptions,"captions / descriptions: General VL benchmarks: OK-VQA, VQA v2, COCO captioning.",vision; tactile; audio; force; language; point cloud / 3D,simulation labels,grasping / lifting; cooking / food state; policy learning / VLA; simulation / sim2real; representation learning,object state; correction signal,simulation; offline perception,"Three robotics domains - a TAMP grasp-and-stack environment, the Language-Table tabletop pushing dataset (Lynch et al.), and a SayCan-style mobile manipulation kitchen environment. General VL benchmarks: OK-VQA, VQA v2, COCO captioning. Plus 21 general language (NLU/NLG) benchmarks for catastrophic-forgetting analysis. The ""full mixture"" adds WebLI, VQA, COCO, and other internet-scale VL/language data (App. A).","Object-centric variants (object-ViT, entity referrals) depend on ground-truth instance masks at input time in several experiments - a strong supervision assumption that isn't always available on a real robot.",,../source_materials/professor_survey_raw/knowledge/paper/palm_e_embodied_multimodal_lm.html,https://arxiv.org/abs/2303.03378,https://palm-e.github.io
Professor Survey,play_it_by_ear_audio_visual_imitation,Play it by Ear: Learning Skills amidst Occlusion through Audio-Visual Imitation Learning,2022,self-collected eval data,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio,demonstrations / trajectories; simulation labels,grasping / lifting; policy learning / VLA; simulation / sim2real,object state,real robot; simulation,"Real key-extraction task (Easy: keys centered below gripper; Hard: keys over a ~3 cm radius, must move within the bag to make contact), 50 teleop demos. Object-differentiation task (pick/drop a mystery bag, grasp only if it sounds like screws vs. packing peanuts), 30 demos, evaluated over 20 trials. Zero-shot unseen-object test (Table I). Two simulated tasks: Occluded Grasp with Visual Indicator and Occluded Pick-and-Place, 50 scripted-expert demos each.",,,../source_materials/professor_survey_raw/knowledge/paper/play_it_by_ear_audio_visual_imitation.html,https://arxiv.org/abs/2205.14850,
Professor Survey,reactive_diffusion_policy_slow_fast_visuotactile,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,2025,self-collected eval data,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; proprioception,temporal / event labels; demonstrations / trajectories; simulation labels,grasping / lifting; pouring / liquids; contact-rich manipulation; policy learning / VLA; simulation / sim2real,object state; state transition; correction signal,real robot; simulation,"Self-collected real-world demos via TactAR - 60 demos (Peeling), 80 (Wiping), 50 (Bimanual Lifting), with proactively-recorded reactive behaviors. Three contact-rich tasks: Peeling (peel a hand-held cucumber), Wiping (wipe handwriting off a hand-held vase with rotation), Bimanual Lifting (two arms clamp + lift a paper cup along a curve without crushing it). Evaluation under No / Before-contact / After-contact perturbations. No public benchmark.",No public benchmark.,,../source_materials/professor_survey_raw/knowledge/paper/reactive_diffusion_policy_slow_fast_visuotactile.html,https://arxiv.org/abs/2503.02881,https://reactive-diffusion-policy.github.io
Professor Survey,real_world_cooking_robot_system_from_recipes_with_foundation_models_and_pddl,Real-World Cooking Robot System from Recipes Based on Food State Recognition Using Foundation Models and PDDL,2024,uses existing datasets,unknown,task instructions / commands; predicates / constraints,"task instructions / commands: An end-to-end PR2 cooking system that takes a natural-language recipe, converts it to a sequence of robot-interpretable cooking functions via few-shot GPT-4 prompting, complements the omitted preparatory actions through classical PDDL planning over 17 hand-defined operators, and uses a CLIP-linear-probe food-state c... | predicates / constraints: An end-to-end PR2 cooking system that takes a natural-language recipe, converts it to a sequence of robot-interpretable cooking functions via few-shot GPT-4 prompting, complements the omitted preparatory actions through classical PDDL planning over 17 hand-defined operators, and uses a CLIP-linear-probe food-state c...",vision; thermal; language,class labels; demonstrations / trajectories,pouring / liquids; cooking / food state; object property reasoning,object state,real robot,Prior CNN-based state classifiers need large dedicated datasets and target identification after-the-fact; the authors want real-time recognition with very little training data per state.,,,../source_materials/professor_survey_raw/knowledge/paper/real_world_cooking_robot_system_from_recipes_with_foundation_models_and_pddl.html,https://arxiv.org/abs/2410.02874,
Professor Survey,heat_induced_food_state_changes_time_series_vlm,Recognition of Heat-Induced Food State Changes by Time-Series Use of Vision-Language Model for Cooking Robot,2023,self-collected eval data,not open,captions / descriptions; temporal phrases,"captions / descriptions: negative natural-language description of a heat-induced food change (e.g. | temporal phrases: the time-series of that probability, smoothed and thresholded, becomes a recognizer for when the state change occurred - a purely visual, recognition-only, language-grounded detector for dynamic thermal cooking transitions.",vision; thermal; language,class labels; temporal / event labels,pouring / liquids; cooking / food state; simulation / sim2real,object state; state transition; event,offline perception,"Self-collected. Robot-camera videos of four canonical heat-induced changes - vaporization (water brought to a boil), melting (butter in a frying pan), thermal denaturation of proteins (egg cooked sunny-side-up), and Maillard reaction (onions stir-fried to a candy color). No public benchmark; no train/test split in the usual sense - ""known"" data tunes prompt + threshold, ""unknown"" data (same and different heat power) is evaluated. Number of trials per condition not reported.","No public benchmark; no train/test split in the usual sense - ""known"" data tunes prompt + threshold, ""unknown"" data (same and different heat power) is evaluated.",,../source_materials/professor_survey_raw/knowledge/paper/heat_induced_food_state_changes_time_series_vlm.html,https://arxiv.org/abs/2309.01528,
Professor Survey,reflect_summarizing_robot_experiences_for_failure_explanation,REFLECT: Summarizing Robot Experiences for Failure Explanation and CorrecTion,2023,uses existing datasets,unknown,captions / descriptions,"captions / descriptions: REFLECT converts raw multisensory robot observations (RGB-D, audio, proprioception) into a three-level hierarchical text summary, then queries an LLM progressively to detect, localize, and explain failures — and optionally generate a correction plan — without any task-specific training.",vision; audio; proprioception; language,temporal / event labels; simulation labels,cooking / food state; simulation / sim2real; failure detection / recovery,event; correction signal,real robot; simulation,Setup Dataset: RoboFail — created alongside the paper.,,,../source_materials/professor_survey_raw/knowledge/paper/reflect_summarizing_robot_experiences_for_failure_explanation.html,https://arxiv.org/abs/2306.15724,https://robot-reflect.github.io/
Supplement,rh20t_comprehensive_robotic_dataset_one_shot,RH20T: A Comprehensive Robotic Dataset for Learning Diverse Skills in One-Shot,2023,introduces dataset,open / public,captions / descriptions,"captions / descriptions: Each sequence includes visual, force, audio, and action information, plus a human demonstration video and language description.",vision; audio; force; language; point cloud / 3D; proprioception; tactile,demonstrations / trajectories,contact-rich manipulation,object state,real robot; human collection; offline perception,"RH20T is a large-scale real-world robotic manipulation dataset of over 110,000 contact-rich manipulation sequences spanning 147 tasks (48 from RLBench, 29 from MetaWorld, 70 self-proposed), each paired with a human demonstration video. Data was collected on 7 hardware configurations using four robot arms (Flexiv, UR5, Franka, Kuka) with 8-10 global RGBD cameras and 1-2 in-hand cameras per platform, capturing RGB, depth, binocular IR, joint angle/torque, gripper/EE pose, 6-DoF force-torque, audio, and fingertip tactile (Cfg7 only). The original data is ~40TB; the project provides a 640x360 resized version (~5TB RGB, ~10TB RGBD).",datasets.bot lists this as a public dataset with license custom and download URL https://rh20t.github.io/.,,../source_materials/dongyu_survey_raw/knowledge/paper/rh20t_comprehensive_robotic_dataset_one_shot.html,https://arxiv.org/abs/2307.00595,https://rh20t.github.io/
Supplement,robocasa_large_scale_simulation_everyday_tasks,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots,2024,introduces simulator,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",language; point cloud / 3D; proprioception; vision,demonstrations / trajectories; simulation labels,cooking / food state; simulation / sim2real,object state,simulation,"RoboCasa is a MuJoCo/robosuite-based simulation framework of photorealistic kitchen environments for training generalist robots (used in NVIDIA's GR00T effort). The original RSS 2024 release provides 120 kitchen scenes (10 floor plans, 12 styles), 2,509 3D assets across 153 categories, and 100 tasks (25 atomic + 75 LLM-generated composite), with 50 human demonstrations per atomic task expanded to 100K+ trajectories via MimicGen on a PandaOmron (Franka arm on Omron mobile base). The framework also supports cross-embodiments including humanoid robots and quadruped robots with arms. The 2026 RoboCasa365 extension scales this to 365 tasks across 2,500 kitchen scenes, 3,200+ objects, and 600+ hours of human plus 1,600+ hours of synthetic demonstrations.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://github.com/robocasa/robocasa.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/dongyu_survey_raw/knowledge/paper/robocasa_large_scale_simulation_everyday_tasks.html,https://arxiv.org/abs/2406.02523,https://robocasa.ai
Supplement,robocasa365_household_mobile_manipulation_benchmark,RoboCasa365: A Large-Scale Simulation Framework for Training and Benchmarking Generalist Robots,2026,introduces benchmark,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,none apparent,demonstrations / trajectories; simulation labels,cooking / food state; simulation / sim2real,none apparent,human collection; simulation,"Introduces RoboCasa365: 365 everyday tasks across 2,500 kitchen environments, with over 600 hours of human demonstration data and over 1,600 hours of synthetic demonstration data.",,dataset-relevant row has no modality tag,../source_materials/dongyu_survey_raw/knowledge/paper/robocasa365_household_mobile_manipulation_benchmark.html,https://arxiv.org/abs/2603.04356,
Supplement,robomimic,robomimic,2021,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception,demonstrations / trajectories; simulation labels,grasping / lifting; policy learning / VLA; simulation / sim2real,object state,real robot; simulation; offline perception,"robomimic is a framework and dataset suite for robot learning from demonstration, released with the CoRL 2021 study 'What Matters in Learning from Offline Human Demonstrations for Robot Manipulation' (Mandlekar et al.). It provides teleoperated human and machine-generated demonstrations on five simulated robosuite/MuJoCo tasks (Lift, Can, Square, Transport, Tool Hang) using the Franka Panda robot (Transport is dual-arm), plus three real-world Franka Panda tasks. Data is distributed as HDF5 with low-dim, image, and raw variants, and includes RGB camera views, proprioception, end-effector pose, and object state.",datasets.bot lists this as a public dataset with license MIT and download URL https://huggingface.co/datasets/amandlek/robomimic.,,../source_materials/datasets_bot_raw/knowledge/paper/robomimic.html,https://arxiv.org/abs/2108.03298,https://robomimic.github.io/
Supplement,robomind_2_multimodal_bimanual_mobile_manipulation,"RoboMIND 2.0: A Multimodal, Bimanual Mobile Manipulation Dataset for Generalizable Embodied Intelligence",2026,introduces dataset,unknown,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",tactile; proprioception; language,demonstrations / trajectories,policy learning / VLA,none apparent,real robot; offline perception,"Introduces RoboMIND 2.0: over 310k dual-arm manipulation trajectories across six robot embodiments and 739 tasks, including 12k tactile-enhanced episodes, 20k mobile manipulation trajectories, and an additional 20k simulated trajectories from digital twins.",,"language modality/method signal, but no explicit dataset language annotation evidence; introduced data artifact has unknown release status",../source_materials/dongyu_survey_raw/knowledge/paper/robomind_2_multimodal_bimanual_mobile_manipulation.html,https://arxiv.org/abs/2512.24653,https://log2r.github.io/RoboMIND2.0/
Supplement,robomind_multi_embodiment_intelligence_normative_data,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,2025,introduces benchmark,partial or indirect,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; proprioception; language,temporal / event labels; demonstrations / trajectories,simulation / sim2real; failure detection / recovery,object state; event,real robot; offline perception,"Introduces RoboMIND: 107k demonstration trajectories, 479 tasks, 96 object classes, four robot embodiments, plus 5k real-world failure demonstrations with detailed causes.",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/dongyu_survey_raw/knowledge/paper/robomind_multi_embodiment_intelligence_normative_data.html,https://arxiv.org/abs/2412.13877,https://x-humanoid-robomind.github.io/
Supplement,robonet,RoboNet,2019,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; force; proprioception,demonstrations / trajectories,grasping / lifting; policy learning / VLA,object state,real robot; offline perception,"RoboNet is a large-scale, open dataset for multi-robot learning, containing over 15 million video frames of robot-object interaction collected autonomously across four research labs (UC Berkeley BAIR, Stanford AI Lab, UPenn GRASP, Google Brain Robotics). It aggregates data from 7 robot platforms (Sawyer, Franka Panda, Baxter, Fetch, Google R3, Kuka LBR iiwa, WidowX) recorded from 113 unique camera viewpoints in tabletop settings, with each datapoint storing the camera RGB image, arm pose, force-sensor readings, gripper state and actions. The TFDS release exposes 162,417 trajectories with 5-dimensional action and state vectors.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://www.tensorflow.org/datasets/catalog/robonet.,,../source_materials/datasets_bot_raw/knowledge/paper/robonet.html,https://arxiv.org/abs/1910.11215,https://www.robonet.wiki/
Supplement,roboset,RoboSet (RoboAgent),2023,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; proprioception; language; point cloud / 3D,demonstrations / trajectories,grasping / lifting; cooking / food state,object state,real robot; offline perception,"RoboSet is a large-scale real-world multi-task robot manipulation dataset collected on Franka-Emika Panda arms with Robotiq grippers across everyday kitchen scenes, combining teleoperated (9,500) and kinesthetic-playback (19,000) demonstrations. It spans 12 manipulation skills expressed across 38 tasks, recording RGB and depth frames from 4 camera views (top, left, right fixed plus a wrist camera) along with Franka joint positions/velocities, end-effector/gripper pose/velocities, and applied controls. It was released alongside the RoboAgent / MT-ACT system (CMU and Meta AI/FAIR). Data is stored as HDF5 trials containing image, proprioception, and action fields.",datasets.bot lists this as a public dataset with license MIT and download URL https://huggingface.co/datasets/jdvakil/RoboSet-Teleoperation/tree/main.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/roboset.html,https://arxiv.org/abs/2309.01918,https://robopen.github.io/
Supplement,robotic-interestingness-subtf,Robotic Interestingness Dataset (SubTF),2020,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; point cloud / 3D,class labels,pouring / liquids,object state,offline perception,"The Robotic Interestingness Dataset (also called the SubT Front Camera, or SubTF, dataset) from CMU's AirLab is a visual scene dataset for studying online prediction of visually 'interesting' scenes for mobile robots. It consists of 7 long-form video sequences (~53-83 minutes each, ~467.7 minutes / ~7.8 hours total) recorded from the front-facing RGB camera of two fully autonomous unmanned ground vehicles (UGVs) operated by CMU Team Explorer, which won first place at the DARPA Subterranean (SubT) Challenge Tunnel Circuit. The robots explored two underground mine tunnels (cumulative 4-8 km linear distance) under challenging GPS- and communication-denied conditions with poor lighting, dripping water, smoke, and cluttered/irregular geometry. Frames are annotated by multiple human labelers for visual interestingness: 15.49% of frames were marked interesting by at least one annotator and 3.58% by at least two. The data is distributed both as processed image sequences (organized as date-ugvN-tunnelM folders, e.g. 0817-ugv0-tunnel0, with ground-truth and train splits) and as raw ROS bag files, hosted via OneDrive/SharePoint links reachable from the AirLab dataset instructions page. The dataset accompanies the paper 'Visual Memorability for Robotic Interestingness via Unsupervised Online Learning' (ECCV 2020 Oral; extended in IEEE Transactions on Robotics 2021), and is supported by the sair-lab/interestingness code (a three-stage long-term/short-term/online learning visual-memory approach) and the wang-chen/SubT data tools (BSD-3-Clause).",datasets.bot lists this as a public dataset with license unknown and download URL https://theairlab.org/dataset/interestingness.,,../source_materials/datasets_bot_raw/knowledge/paper/robotic-interestingness-subtf.html,https://arxiv.org/abs/2005.08829,https://theairlab.org/interestingness/
Supplement,robotwin_dual_arm_robot_benchmark_digital_twins,RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins,2025,introduces benchmark,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",language,none apparent,simulation / sim2real,object state,real robot,Introduces RoboTwin: a benchmark with simulated and real-world data for dual-arm tasks. It creates object digital twins from single images and uses large language models to decompose tasks and generate movement code.,Validated with the open-source COBOT Magic robot platform; combines simulated and limited real-world data.,"language modality/method signal, but no explicit dataset language annotation evidence; dataset-relevant row has no data-supervision tag",../source_materials/dongyu_survey_raw/knowledge/paper/robotwin_dual_arm_robot_benchmark_digital_twins.html,https://arxiv.org/abs/2504.13059,https://robotwin-platform.github.io/
Supplement,rt-1-fractal20220817,RT-1 Robot Action Dataset,2022,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Each step pairs an RGB image and natural-language instruction with a discretized arm+base action, plus success/feasible/undesirable labels, stored in RLDS/TFDS format.",vision; proprioception; language,class labels; demonstrations / trajectories; self-supervised pairs,cooking / food state,object state,offline perception,"The RT-1 robot action dataset (fractal20220817_data in Open X-Embodiment) contains 87,212 human-teleoperated demonstration episodes of tabletop manipulation with 17 objects, collected on Google's Everyday Robots mobile manipulators. Each step pairs an RGB image and natural-language instruction with a discretized arm+base action, plus success/feasible/undesirable labels, stored in RLDS/TFDS format.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://www.tensorflow.org/datasets/catalog/fractal20220817_data.,,../source_materials/datasets_bot_raw/knowledge/paper/rt-1-fractal20220817.html,https://arxiv.org/abs/2212.06817,https://research.google/blog/rt-1-robotics-transformer-for-real-world-control-at-scale/
Professor Survey,see_to_touch_tactile_dexterity_visual_incentives,See to Touch: Learning Tactile Dexterity through Visual Incentives,2023,self-collected eval data,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force,demonstrations / trajectories; self-supervised pairs,insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real; representation learning,none apparent,real robot; human collection; offline perception,"No public benchmark; six self-collected contact-rich dexterous tasks - Peg Insertion, Sponge Flipping, Eraser Turning, Bowl Unstacking, Plier Picking, Mint Opening (Fig 2). One human demonstration per task collected via the HOLO-DEX VR framework; data subsampled to 10Hz.","No public benchmark; six self-collected contact-rich dexterous tasks - Peg Insertion, Sponge Flipping, Eraser Turning, Bowl Unstacking, Plier Picking, Mint Opening (Fig 2).",,../source_materials/professor_survey_raw/knowledge/paper/see_to_touch_tactile_dexterity_visual_incentives.html,https://arxiv.org/abs/2309.12300,
Professor Survey,see_hear_feel_sensory_fusion,"See, Hear, and Feel: Smart Sensory Fusion for Robotic Manipulation",2022,self-collected eval data,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; force; point cloud / 3D,property labels; demonstrations / trajectories; simulation labels,pouring / liquids; insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real,static property,real robot; simulation,"Self-collected human-demonstration data on two real tasks. Dense packing : 3D-printed cylinder peg + base with four bump types (hard slanted, soft slanted, left flat, back flat), 10 demo episodes per base; plus a harder real-world variant fitting a glass into a cluttered box (thin metal board, stuffed toy, towel, plastic plate as obstacles). Pouring : pour 1 mm beads from an in-hand cup to a fixed cup to a 40 g target, starting from 60 g or 100 g, 10 demos.",""" No simulator and no released large dataset - reproduction requires rebuilding the exact hardware rig.",,../source_materials/professor_survey_raw/knowledge/paper/see_hear_feel_sensory_fusion.html,https://arxiv.org/abs/2212.03858,
